gene_symbol,correlation,p_value
SMAD6,0.9787290205470016,0.021270979452998384
FKBP1B,-0.9786428293212291,0.021357170678770743
PFKP,0.9785222810139472,0.021477718986052885
ENPP1,0.9784346166958845,0.021565383304115393
SAPCD2,-0.9782806598548168,0.021719340145183175
LPCAT2,-0.9780978993607162,0.021902100639283884
BAIAP3,0.9777512230377627,0.02224877696223726
ITGB4,0.9775962931577249,0.022403706842275106
APOL6,-0.9773892420236205,0.02261075797637946
MAPK8IP1,-0.9773552030362063,0.022644796963793734
CCDC62,0.9773336866394984,0.022666313360501622
DCTN5,0.9771067511132356,0.02289324888676436
SPATA6L,-0.9769965392481175,0.023003460751882532
LRRC47,-0.9769393866966206,0.023060613303379274
BEGAIN,-0.9768791751751797,0.023120824824820252
MAPK15,-0.9767237168068315,0.023276283193168545
AKAP6,-0.9766968335421676,0.02330316645783226
CXCL3,0.9763380561896053,0.02366194381039466
LAYN,-0.9758332631415864,0.02416673685841353
CORIN,0.975721979162838,0.024278020837162018
DUSP5,-0.9753168709559601,0.02468312904403991
NPR3,0.9752139816111577,0.0247860183888422
FHDC1,0.9743606747570835,0.025639325242916566
GINS3,0.9741716447113398,0.025828355288660232
GSE1,-0.9738238945389588,0.02617610546104121
ABCA6,0.9730245242904747,0.0269754757095253
KRT17,-0.9728470957912292,0.02715290420877081
CNN2,-0.9727134948701531,0.027286505129846983
PSMB10,0.9723138231851238,0.027686176814876173
ARHGEF12,-0.9721237966273485,0.02787620337265162
MYOG,-0.9719581440536591,0.0280418559463409
PDE7A,0.9718569578336503,0.028143042166349552
ZBTB8A,0.9718517051053297,0.0281482948946703
LRFN2,-0.9715240296495935,0.0284759703504065
CHD1L,-0.9711023176780621,0.02889768232193779
FBXO8,-0.9710302449595574,0.028969755040442635
AATK,0.9710163230177362,0.028983676982263784
S100A6,-0.9710011010561421,0.028998898943857876
GSTT2B,-0.9709026416319144,0.02909735836808558
TM4SF1,-0.9708886180240195,0.02911138197598051
ST18,0.9707568018470488,0.029243198152951067
IL3RA,-0.9707329751845007,0.029267024815499365
RNF7,0.9705989229162666,0.029401077083733407
RIMS1,-0.9704969879495909,0.029503012050409172
LIN7A,0.9702870203378122,0.029712979662187777
APCDD1L,-0.970269632402156,0.029730367597843976
MANSC1,0.9701993022574853,0.029800697742514703
MEIS1,-0.9700292562869016,0.02997074371309827
RETSAT,-0.9695634726401494,0.030436527359850585
NUP98,0.9692621510729688,0.03073784892703113
DHX57,-0.9692476758766422,0.03075232412335782
NDFIP1,-0.9692371275009807,0.030762872499019434
CACNA1A,0.9691849548379778,0.03081504516202216
NMNAT3,-0.9685884650730775,0.03141153492692261
UTP20,0.9685834522702522,0.03141654772974789
NT5C1A,-0.9685713242460663,0.03142867575393371
DNAH2,-0.9685058965446462,0.03149410345535375
HSPA2,-0.9679856631280737,0.03201433687192634
DUSP2,0.9678872546885178,0.03211274531148223
GCC2,0.9677600239411452,0.03223997605885476
PCSK5,0.9676880264643279,0.032311973535672056
PLD1,-0.9674633774057341,0.03253662259426582
PCDHAC2,-0.9673597664184668,0.03264023358153323
STOM,-0.967017899169456,0.03298210083054398
PLEKHA5,-0.9670114763958663,0.032988523604133846
TP53I3,0.9668478037784037,0.03315219622159615
ENTPD2,0.9668312331983643,0.03316876680163583
CDC42EP5,0.9668302383522459,0.0331697616477542
NEDD9,0.7469601426429066,0.033206851073030744
NECAB1,0.9667512794913904,0.03324872050860961
CHGA,-0.9666403901907454,0.033359609809254565
PLCXD3,-0.9666065245222479,0.033393475477752066
PDE9A,0.9664345231884813,0.03356547681151856
TRIP6,-0.9661315233274422,0.03386847667255788
ANKLE1,-0.9660087374831302,0.0339912625168699
TFR2,0.9659660032219137,0.03403399677808627
PODNL1,-0.7445224414278386,0.03410737373275996
TMEM37,-0.9656934909349844,0.034306509065015645
SLC5A12,-0.7439381006648473,0.034325432454926266
CLIC4,-0.9655383463424079,0.03446165365759213
FAM124B,-0.9653920201203632,0.03460797987963682
GRHL1,-0.9652556444883778,0.03474435551162225
VAX2,-0.9646244425042988,0.035375557495701315
CLDN1,0.964539198799585,0.03546080120041495
APOL1,-0.9645340998276986,0.035465900172301446
TMEM38A,-0.9644460252464762,0.03555397475352384
