gene_symbol,correlation,p_value
MIR4324,0.9925986176677649,0.007401382332234974
STN1,0.9925475331337694,0.007452466866230578
SNHG26,0.9925437321129562,0.007456267887043788
PITRM1,0.9925351671300805,0.007464832869919391
SH3GL2,0.9925134568450564,0.00748654315494357
DRGX,0.9924607362478809,0.0075392637521192185
NIM1K,0.992328818177451,0.007671181822549
LINC02826,0.9923032974108841,0.007696702589115922
SAPCD2,-0.9922912657256922,0.007708734274307849
OAS2,-0.9922852416758489,0.007714758324151028
SLC4A10,0.9921749985200129,0.007825001479987215
HOXB6,0.9920888790537675,0.007911120946232586
MARCHF11,0.9918397411426619,0.008160258857337954
CYP2S1,0.9917639445204608,0.008236055479539317
TTLL6,0.9916879205630171,0.008312079436982867
RPSAP52,0.9916807440778553,0.008319255922144553
HRCT1,-0.9916573358226064,0.0083426641773936
HOXB-AS3,0.991621953390716,0.008378046609283984
MAT2B,-0.991556809883817,0.008443190116182997
ADRA1D,0.991550740260675,0.008449259739324866
SCAF11,0.9915181651532747,0.008481834846725267
CCN1,-0.9914997792257237,0.008500220774276368
RGS5-AS1,-0.9912485229740551,0.00875147702594492
GPSM3,-0.9912275777519647,0.008772422248035205
RN7SL674P,0.9911486271222392,0.008851372877760832
SMAGP,-0.9910968872129274,0.008903112787072676
PPP1R3B,-0.9909748311493888,0.00902516885061111
H2BC6,-0.9909255908025305,0.00907440919746949
ANKDD1B,-0.990723852449162,0.009276147550838054
MGAM2,0.9906618689259673,0.009338131074032585
DLGAP1,0.9906291031181674,0.009370896881832458
RRAD,0.9904686227237107,0.009531377276289277
ANKRD50,-0.9904556333748062,0.009544366625193756
BCL6,0.9902936973310368,0.009706302668963218
OR7E145P,0.9902799252627159,0.00972007473728409
PRRX1,0.9902585190172823,0.009741480982717654
COL25A1,0.9902400355622615,0.009759964437738411
TAMALIN,-0.9901951912828449,0.009804808717154945
LINC01229,0.9900919045935676,0.009908095406432338
LINC01776,0.9900230899370682,0.009976910062931665
IL17RD,-0.9900067123873605,0.009993287612639623
CTNND2,0.9898978920339094,0.010102107966090568
TTPA,0.9898926816279798,0.010107318372020169
HOXB3,0.9897597425852012,0.010240257414798837
KRT17,-0.9896602109421402,0.010339789057859816
DUSP5P1,-0.9894221434968646,0.010577856503135363
GAS8-AS1,0.9893115409575902,0.010688459042409892
SLC25A24,0.989264334744914,0.010735665255086069
ZSCAN16-AS1,0.9892458146695227,0.01075418533047734
E2F2,0.9892278338419889,0.010772166158011132
PTGER4P2-CDK2AP2P2,0.9889970762413457,0.011002923758654415
LINC01965,0.9888716381881536,0.01112836181184651
EPHA7,0.9888705508531742,0.011129449146825898
SERINC5,-0.9887286344505077,0.011271365549492263
RAB12,0.9885022246401295,0.011497775359870399
CITED2,-0.9884986711400321,0.011501328859967908
PRIMA1,0.9884933052376229,0.011506694762377201
PHF11,-0.9884698554965327,0.011530144503467454
FRG1HP,0.9883859664802069,0.011614033519792955
FDFT1,0.9883270210186075,0.011672978981392523
BCL11B,0.9883057947956969,0.011694205204303199
HECA,0.988098426780949,0.011901573219051054
PCSK5,0.9880613087995395,0.01193869120046065
SYNJ2,-0.9879644487118977,0.012035551288102297
ACTL10,-0.9879368386707981,0.012063161329201932
SHISA6,0.9879346157338941,0.012065384266105816
ZSCAN10,0.9878904794973111,0.012109520502688875
PSORS1C1,0.987756708759998,0.012243291240002119
PAX3,0.9877394398601442,0.01226056013985577
RING1,0.9877287557468443,0.012271244253155622
ARMH4,0.9876187715236387,0.012381228476361361
HOXC12,0.9876160406718525,0.012383959328147398
RIPPLY3,-0.9875840395683271,0.012415960431672923
ANKRD44-IT1,-0.9875293361807473,0.012470663819252659
LINC02307,0.9873905469402953,0.012609453059704734
EBF2,0.9873378470868621,0.01266215291313788
MOK,-0.9872529379748878,0.012747062025112221
NOTCH2NLC,0.98725168013185,0.012748319868149949
ARMT1,0.9869950294711167,0.013004970528883275
HMGA2,0.98692761513477,0.013072384865230102
F2R,0.9869049830806472,0.013095016919352886
VAX2,0.9868952413610922,0.01310475863890792
HOXA11-AS,0.9868468255750324,0.01315317442496755
KLHL31,0.9868310753415404,0.013168924658459646
PALM2AKAP2,0.9867331953790177,0.013266804620982287
RUNX2,0.9867158126528297,0.013284187347170295
PGM5,0.9866797378822567,0.013320262117743287
ZNF423,0.9865846546403209,0.013415345359679254
SATB2,0.9864407377670282,0.013559262232971658
MIR99AHG,0.986440733141075,0.013559266858925056
RPS2P32,-0.9863720812494479,0.013627918750552137
LPL,0.9862871470304524,0.013712852969547606
TIGD4,-0.9862292869179288,0.013770713082071229
ZNF253,0.9862193354823718,0.01378066451762816
LAMA4,-0.9861820860826204,0.01381791391737952
MAP3K7CL,0.9860534161679754,0.01394658383202474
GUSBP5,-0.9858487813209071,0.014151218679092858
ADAMTSL3,0.9858352697562534,0.014164730243746648
ACSF2,0.9857720182236054,0.014227981776394616
KCTD8,0.9857079609046395,0.014292039095360476
CAP2,0.9856163705419345,0.014383629458065483
NUAK1,0.9855559544900655,0.014444045509934611
FFAR3,0.9854480125658348,0.014551987434165081
SLIT3,-0.9854470108059908,0.014552989194009047
GMNC,0.9854126677072883,0.014587332292711697
TMEM184B,-0.9852977009746706,0.01470229902532938
FGF10,0.9852824005516705,0.01471759944832951
SEPSECS-AS1,0.985243617859807,0.014756382140193036
AMPH,0.9852401415277722,0.014759858472227716
KLHL12,0.9851498331800717,0.014850166819928345
